"Hi Skip!  I’m Sam the Snail, and I seem to have lost my shell.
If you can find it for me, I’ll give you the key to the gate.","Hé Skip!  Je suis Sam l’Escargot, et je crois que j’ai perdu ma
coquille. Si tu me la retrouves, je te donnerai la clé de la porte.","Hallo Skip! Ich bin Sam die Schnecke und ich scheine mein Haus
verloren zu haben. Wenn Du es für mich findest, gebe ich Dir
den Schlüssel für das Tor.","¡Hola Skip! Soy Sam el caracol y parece que he perdido mi
caparazón. Si lo encuentras, te daré la llave de la puerta.","Ciao Skip! Sono Sam la lumaca e credo di aver perso il mio
guscio. Se me lo riporti, ti daró la chiave per il cancello.","Hej Skip! Jag är Snigeln Sam, och jag har tappat bort mitt skal.
Om du kan hitta det åt mig så ger jag dig nyckeln till porten.","Hoi Skip! Ik ben Sam de Slak, en het lijkt erop dat ik mijn huis
kwijt ben. Als je het voor me kunt vinden geef ik je de
sleutel voor de poort."
"Thanks for finding my shell, Skip!  Here’s the key I promised!","Merci d’avoir retrouvé ma coquille, Skip!
Voilà la clé que je t’ai promise!","Danke, daß Du mein Haus gefunden hast, Skip! Hier ist der
versprochene Schlüssel!","¡Gracias por encontrar mi caparazón, Skip! ¡Aquí tienes la llave
prometida!","Grazie per aver trovato il mio guscio, Skip! Ecco la chiave che
ti ho promesso!","Tack för att du hittade mitt skal, Skip! Här är nyckeln
som jag lovade!","Bedankt voor het vinden van mijn huis, Skip! Hier is de sleutel
die ik je beloofd heb!"
"Hi Skip! If you can put my scarecrow’s head back on, I’ll give
you another key.","Hé Skip! Si tu arrives à remettre la tête de mon épouvantail
en place, je te donnerai une autre clé.","Hallo Skip! Wenn Du meiner Vogelscheuche wieder ihren Kopf
aufsetzen kannst, gebe ich Dir einen weiteren Schlüssel.","¡Hola Skip! Si consigues volver a colocar la cabeza del
espantapájaros te daré otra llave.","Ciao Skip! Se puoi rimettere al suo posto la testa dello
spaventapasseri, ti daró un’altra chiave.","Hej Skip! Om du sätter tillbaka min fågelskrämmas huvud så ger
jag dig ännu en nyckel.","Hoi Skip! Als je het hoofd van mijn vogelverschrikker terug kunt
zetten geef ik je nog een sleutel."
"Great! You found the scarecrow’s head!
Now just put it back on him and I’ll give you the key!","Super! Tu l’as retrouvée! Remets-la sur les épaules de
l’épouvantail et je te donnerai la clé!","Großartig! Du hast den Kopf der Vogelscheuche gefunden! Setze
ihn ihr nun wieder auf und dann gebe ich Dir den Schlüssel!","¡Genial! ¡Has encontrado la cabeza del espantapájaros!
¡Vuelve a colocarla y te daré la llave!","Bravo! Hai trovato la testa dello spaventapasseri!
Ora rimettila al suo posto e ti daró la chiave!","Bra! Du hittade fågelskrämmans huvud! Sätt nu bara tillbaka
det på honom så ger jag dig nyckeln!","Geweldig! Je hebt het hoofd van de vogelverschrikker gevonden!
Zet het nu maar bij hem op en dan geef ik je de sleutel!"
"Thanks for fixing my scarecrow, Skip! Here’s your key!","Merci d’avoir réparé mon épouvantail, Skip!
Voilà ta clé!","Danke, daß Du meine Vogelscheuche repariert hast, Skip!
Hier ist Dein Schlüssel!","¡Gracias por arreglar mi espantapájaros, Skip! ¡Toma la llave!","Grazie per aver sistemato il mio spaventapasseri, Skip!
Ecco la tua chiave!","Tack för att du fixade min fågelskrämma, Skip! Här är din
nyckel!","Bedankt voor het repareren van mijn vogelverschrikker, Skip!
Hier is je sleutel!"
"Find my marble and use it to knock down these batteries.
I’ll give you a key if you can do it!","Trouve ma bille et utilise-la pour renverser ces piles.
Je te donnerai une clé si tu y arrives!","Finde meine Murmel und verwende sie, um diese Batterien
umzuschmeißen. Ich gebe Dir einen Schlüssel, wenn Du das
machen kannst!","Busca mi canica y úsala para derribar todas estas baterías.
¡Te daré una llave si lo consigues!","Trova la mia biglia e usala per abbattere queste pile.
Se riesci, ti daró una chiave!","Hitta min kula och använd den för att knuffa till dessa
batterier. Jag ger dig en nyckel om du kan göra det!","Zoek mijn knikker en gebruik hem om deze batterijen om te
gooien. Ik geef je een sleutel als het je lukt!"
"Good job finding my marble, Skip!
Now kick the marble to knock down all the batteries.","Bon travail, tu as trouvé ma bille, Skip!  Maintenant, donne un
coup de pied dedans pour renverser toutes les piles.","Gut gemacht, Skip, Du hast meine Murmel gefunden! Nun trete
die Murmel, um alle Batterien umzuschmeißen.","¡Fantástico, encontraste la canica, Skip! Ahora dale una
patada para derribar todas las baterías.","Ben fatto! Hai trovato la biglia, Skip! Ora, usala per
abbattere tutte le pile, dandole un calcio.","Bra jobb med att hitta min kula, Skip!  Sparka nu kulan
för att knuffa omkull alla batterierna.","Goed gedaan Skip, je hebt mijn knikker gevonden! Geef hem een
trap om alle batterijen om te gooien."
"Yeehaaa!! Good job, Skip!  Here’s another key.","Youpiii! Bien joué, Skip! Voilà une autre clé.","Juchhuu! Gute Arbeit, Skip! Hier hast Du einen weiteren
Schlüssel.","¡Así se hace! ¡Buen trabajo, Skip! Toma, otra llave más.","Bravo!! Ben fatto, Skip! Eccoti un’altra chiave.","Jaaaaaa!! Bra jobb, Skip!  Här är ännu en nyckel.","Jippieee!! Goed gedaan, Skip! Hier heb je nog een sleutel."
"Well, hello Skip!  I’ll give you a map if you’ll bring me an acorn.","Bien le bonjour, Skip!
Tu sais, je te donnerai une carte si tu m’apportes un gland.","Nun, hallo Skip! Ich gebe Dir eine Karte, wenn Du mir eine
Eichel bringst.","¡Hombre, hola Skip! Te daré un mapa si me traes una bellota.","Salve, Skip! Ti daró una mappa se mi porti una ghianda.","Men, hej Skip!  Jag ger dig en karta om du ger mig ett ekollon.","Hallo daar, Skip! Ik geef je een plattegrond als je mij
een eikel brengt."
Howdy Skip! I’ll trade you this checkpoint for an acorn.,Coucou Skip! Je t’échange ce témoin de passage contre un gland.,Tag Skip! Ich gebe Dir diesen Kontrollpunkt für eine Eichel.,¡Hombre Skip! Te cambio este punto de control por una bellota.,"Come va Skip? In cambio di una ghianda, pianteró un marcatore.",Hejsan Skip! Jag byter den här kontrollpunkten för ett ekollon.,Hoi Skip! Ik ruil dit checkpoint voor een eikel.
"Skip, this critter looks stuck. See if you can lift the bar by
pressing your Pickup button.","Skip, cette bestiole a l’air coincée. Essaie de soulever cette barre
avec le bouton “Ramasser”.","Skip, dieses Wesen scheint festzustecken. Schau, ob Du durch
Drücken des Aufheben-Knopfes die Klammer hochheben kannst.","Skip, este bicho está atrapado. Intenta levantar la barra
pulsando el botón Coger.","Skip, questo topolino sembra intrappolato. Vedi se puoi alzare
la barra usando il tasto Raccogli.","Skip, denna stackare ser ut att sitta fast. Se om du kan lyfta
stången genom att
trycka på plocka upplockningsknappen.","Skip, volgens mij zit dit beestje vast. Probeer de val open
te maken door op de ‘Oppak’ knop te drukken."
"Thank you, Skip! Here ya go!",Merci Skip! Et voilà!,"Danke, Skip! Hier hast Du sie!","¡Gracias, Skip! ¡Aquí tienes!",Grazie Skip! Vai cosí!,"Tack, Skip! Här haru!","Bedankt, Skip! Alsjeblieft!"
Checkpoint!,Et un témoin de passage!,Kontrollpunkt!,¡Un punto de control!,Marcatore!,Kontrollpunkt!,Checkpoint!
"Skip, the red key is floating on a leaf somewhere in the pool.
But be careful, the chlorine in the water will hurt ya!","Skip, la clé rouge est sur l’une des feuilles qui flottent dans la
piscine. Mais attention! Le chlore de l’eau peut te blesser!","Skip, der rote Schlüssel schwimmt auf einem Blatt irgendwo im
Pool. Aber sei vorsichtig, das Chlor im Wasser wird Dich verletzen!","Skip, la llave roja está flotando en el estanque. ¡Ten cuidado,
el cloro del agua te hará daño!","Skip, la chiave rossa galleggia su una foglia nella piscina.
Ma stai attento, il cloro nell’acqua ti danneggerà!","Skip, den röda nyckel flyter på ett löv någonstans i poolen.
Men var försiktig, kloret kan skada dig!","Skip, de rode sleutel drijft op een blaadje ergens in het zwembad.
Maar kijk uit, het chloor in het water doet pijn!"
"If you can squash all of the berries along the trail,
I’ll give you a key at the end!","Si tu parviens à écraser toutes les baies le long du sentier,
je te donnerai une clé à la fin!","Wenn Du alle Beeren entlang der Strecke zerquetschst, gebe ich
Dir am Ende einen Schlüssel!","¡Si logras espachurrar todas las bayas del camino te daré
una llave!","Se riesci a schiacciare tutte le bacche lungo il percorso,
alla fine ti daró una chiave!","Om du krossar alla bären längs med stigen så ger jag dig en nyckel
vid slutet!","Als je alle bessen langs het parcours kunt pletten geef ik je een
sleutel aan het eind!"
"Hey, you missed some berries, Skip.
Go back and squish all of them.","Hé, tu en as raté quelques-unes, Skip.
Retourne les écraser toutes!","Hey, Du hast ein paar Beeren vergessen, Skip. Gehe zurück und
zerquetsche alle.","Te faltan algunas bayas, Skip. Vuelve y aplástalas todas.","Ehi, ti sei dimenticato qualche bacca, Skip.
Torna indietro e schiacciale tutte!","Hörru, du missade en del bär, Skip.  Gå tillbaka och mosa alla.","Hé, je hebt een paar bessen gemist Skip. Ga terug en plet ze
allemaal."
You made quite a mess back there!  Here’s the key!,"Tu as fait un sacré carnage sur ton chemin!
Tiens, voilà ta clé!","Du hast da eine ganz schöne Sauerei hinterlassen!
Hier ist der Schlüssel!",¡Menuda la que has armado! ¡Toma la llave!,"Hai fatto un bel macello, là dietro! Eccoti la chiave!",Du ställde till en riktig röra därborta! Här är nyckeln!,Je hebt er nogal een smeerboel van gemaakt! Hier is de sleutel!
